engine_id,engine_name,source_file,source_section,category,target_customer,problem,offer,price_low,price_high,price_label,recurring_possible,speed_to_cash_days,startup_cost_nzd,human_effort,automation_potential,acquisition,execution_status,revenue,next_action,total_score,band,score_speed_to_cash,score_low_human_effort,score_recurring_revenue,score_gross_margin,score_observable_demand,score_automation_potential,score_scalability,merged_count,needs_client_data,physical_component
ME-0449,Body Corporate / Facilities Lead List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L9615,lead_gen,commercial trades,,Build qualified facilities/body-corporate prospect list.,299,299,**NZ$299–699**,True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0452,Insurance Repair Contractor Lead List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L10242,lead_gen,repair/subcontract trades,,Research legitimate repair contractors and partnership fit.,299,299,**NZ$299–699**,True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0453,Developer / Builder Project Lead List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L10451,lead_gen,trades and suppliers,,Research developers/builders and public project signals.,299,299,**NZ$299–799**,True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0454,Commercial Tenant Lead List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L10660,lead_gen,fit-out/maintenance trades,,Research commercial tenants and likely service needs.,299,299,**NZ$299–699**,True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0455,Newly Registered Business Research Pack,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L10869,trigger_leads,B2B service providers,,Classify lawful public new-business signals by likely needs.,299,299,**NZ$299–799/month**,True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0478,Web Designer Content Partner Service,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L15676,white_label,web designers,,Provide white-label website copy and content production.,500,500,"**NZ$500–2,000/month**",True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0479,Photographer Content Partner Service,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L15885,white_label,commercial photographers,,Turn delivered images into full marketing packs.,299,299,"**NZ$299–1,000/month**",True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0480,Drone Operator Content Partner Service,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L16094,white_label,drone/media operators,,"Turn project footage/notes into posts, case studies and web copy.",299,299,"**NZ$299–1,000/month**",True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0482,Print Shop Marketing Partner,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L16512,white_label,printers,,Provide white-label content/campaign support.,299,299,"**NZ$299–1,000/month**",True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0493,Friday Revenue Recovery Service,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L18811,sales_enablement,service businesses,,Every Friday produce revenue-recovery queue and drafts.,299,299,**NZ$299–799/month**,True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0494,Hermes 20 Leads by Breakfast Service,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L19020,lead_gen,B2B businesses,,"Each morning deliver 20 researched, scored, deduplicated leads with reason-for-fit and outreach drafts.",299,299,**NZ$299–799/month initially**,True,1,0,medium,,,DISCOVERED,0,,87,EXECUTE_NOW,25,14,20,14,6,3,5,1,False,False
ME-0042,Review Intelligence Subscription,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L4624,,Multi-location or review-heavy local businesses.,,"Monthly analysis of review themes, recurring complaints, staff/service mentions, strengths and opportunities.",None,None,,True,3,0,very_low,5/5,,DISCOVERED,0,,86,EXECUTE_NOW,20,20,20,12,6,5,3,1,True,False
ME-0312,Local Vendor Marketplace Directory,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L18529,directory,local markets,,Build and maintain a monetisable local supplier/vendor database.,99,999,$99–$999 sale/subscription/sponsorship,True,3,0,very_low,5/5,,DISCOVERED,0,,86,EXECUTE_NOW,20,20,20,12,6,5,3,1,True,False
ME-0002,MONEY ENGINE 02 — AI CONTENT ENGINE FOR TRADIES,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L1361,,- Builder. - Painter. - Roofer. - Concrete contractor. - Landscaper. - Mechanic. - Electrician. - Plumber. - Flooring contractor. - Earthmoving contractor. - Fencer. - Detailer.,,Example: **Tradie Content Engine** Potential inclusions: - 12–20 posts/month. - Captions. - 4 reel concepts. - Promotional graphics briefs. - Google Business posts. - Review-response drafts. - Monthly offer ideas. - FAQ content. - Website copy recommendations.,None,None,,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0006,MONEY ENGINE 07 — GOOGLE BUSINESS PROFILE MANAGEMENT,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L1759,,,,- Weekly Google Business posts. - Service descriptions. - Q&A content. - Review-response drafts. - Offer updates. - Photo-caption suggestions. - Monthly profile audit.,None,None,,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0007,MONEY ENGINE 08 — REVIEW GENERATION & RESPONSE SYSTEM,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L1809,,,,Help businesses request more legitimate customer reviews and respond consistently.,None,None,,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0383,FAQ Page Build,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md:L15167,content,businesses with no useful FAQ,,"Build FAQ page from public info, reviews and approved business facts.",199,199,**NZ$199–599**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0392,Review-to-FAQ Pack,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md:L17048,content,businesses with rich reviews/questions,,Turn review themes into FAQs and website content.,199,199,**NZ$199–499**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0393,Review-to-Ad Pack,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md:L17257,content,businesses with strong positive reviews,,Turn verified review themes into ad angles and messaging.,149,149,**NZ$149–399**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0405,Tradie Facebook Page Rescue,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L419,social,trade businesses with abandoned pages,,Create 10 ready-to-post updates and a recovery calendar.,149,149,**NZ$149–399**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0407,LinkedIn Company Page Pack,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L837,social,B2B contractors and firms,,Rewrite company profile and create B2B content pack.,199,199,**NZ$199–599**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0408,Owner LinkedIn Authority Pack,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L1046,social,founders and business owners,,Profile rewrite plus 10 authority posts.,199,199,**NZ$199–599**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0409,30 Reel Hook Pack,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L1255,social,businesses creating short-form video,,Create 30 hooks/scripts tied to actual services.,99,99,**NZ$99–299**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0411,Project Photo Content Subscription,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L1673,social,trades and project firms,,Weekly photo upload → posts/case-study material.,199,199,**NZ$199–499/month**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0412,One Job → 30 Assets Pack,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L1882,content,project businesses,,Turn one project into 30 multi-channel assets.,199,199,**NZ$199–599/job**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0413,Content Backlog Builder,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L2091,content,businesses with inconsistent content,,Build 90-day content backlog from services and FAQs.,199,199,**NZ$199–499**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0414,Content Gap Audit,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L2300,content,local businesses,,Identify missing topics and rank by customer value.,149,149,**NZ$149–399**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0416,Offer-of-the-Month Service,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L2718,campaign,small local businesses,,Create one monthly offer + message pack.,99,99,**NZ$99–299/month**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0417,Email Subject Line Pack,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L2927,campaign,email marketers,,Create 50 subject lines grouped by objective.,49,49,**NZ$49–149**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0439,Annual Service Reminder List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L7525,retention,maintenance businesses,,Build recurring annual due list and reminder assets.,99,99,**NZ$99–299/month**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0440,Customer Due-Again Report,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L7734,retention,repeat-service businesses,,Generate monthly due-again queue from service history.,149,149,**NZ$149–399/month**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0445,Referral Partner Lead List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L8779,lead_gen,local businesses,,Find and score complementary businesses that can send referrals.,199,199,**NZ$199–499**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0446,Builder Referral List for Tradies,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L8988,lead_gen,trade businesses,,Research builders suited to referral/subcontract partnerships.,199,199,**NZ$199–499**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0447,Property Manager Referral List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L9197,lead_gen,trades,,Research property managers and personalised partnership angles.,199,199,**NZ$199–599**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0448,Real Estate Agent Referral List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L9406,lead_gen,pre-sale service providers,,Research agents/offices suited to referral relationships.,199,199,**NZ$199–499**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0450,Automotive Workshop Partnership List,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L9824,lead_gen,flooring/detailing/suppliers,,Find workshops and partnership angles.,199,199,**NZ$199–499**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0489,Meeting Prep Subscription,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_5_OF_5.md:L17975,sales_enablement,B2B sales/account teams,,"Produce account brief, talking points and opportunity list before meetings.",199,199,**NZ$199–799/month**,True,1,0,medium,,,DISCOVERED,0,,85,EXECUTE_NOW,25,14,20,12,6,3,5,1,False,False
ME-0231,Promotion Profitability Review,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L5326,analytics,retail/service businesses,,"Compare promotion revenue against margin, discounts and downstream value.",299,2000,"$299–$2,000/project or recurring",False,1,0,very_low,5/5,,DISCOVERED,0,,83,EXECUTE_NOW,25,20,8,14,6,5,5,1,False,False
ME-0285,Purchase Order Description Cleaner,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L14128,data_ops,procurement/admin teams,,Convert vague requests into clear item/spec descriptions for buyer review.,299,2000,"$299–$2,000/project",False,1,0,very_low,5/5,,DISCOVERED,0,,83,EXECUTE_NOW,25,20,8,14,6,5,5,1,False,False
ME-0316,Competitor Launch Calendar,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md:L164,analytics,businesses tracking competitors,,Record when competitors historically launch products or promotions.,299,2000,"$299–$2,000/project or recurring",False,1,0,very_low,5/5,,DISCOVERED,0,,83,EXECUTE_NOW,25,20,8,14,6,5,5,1,False,False
ME-0330,Internal Knowledge Freshness Audit,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md:L2446,knowledge,businesses with internal documentation,,Flag procedures/docs not reviewed within defined periods.,500,5000,"$500–$5,000/project or maintenance",False,1,0,very_low,5/5,,DISCOVERED,0,,83,EXECUTE_NOW,25,20,8,14,6,5,5,1,False,False
ME-0226,Sales Forecast Confidence Scorer,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L4511,sales_ops,B2B sales teams,,Score forecast deals based on evidence quality rather than optimism.,299,1200,"$299–$1,200/month",True,3,0,very_low,5/5,,DISCOVERED,0,,82,EXECUTE_NOW,18,20,20,14,0,5,5,1,False,False
ME-0241,Capacity Forecast Assistant,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L6956,business_intelligence,project/service businesses,,Forecast upcoming workload from approved pipeline and bookings.,299,1500,"$299–$1,500/month",True,3,0,very_low,5/5,,DISCOVERED,0,,82,EXECUTE_NOW,18,20,20,14,0,5,5,1,False,False
ME-0255,Fleet Maintenance Admin Assistant,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L9238,operations,small fleets,,"Maintain reminders, records and maintenance summaries from supplied fleet information.",299,1500,"$299–$1,500/month",True,3,0,very_low,5/5,,DISCOVERED,0,,82,EXECUTE_NOW,18,20,20,14,0,5,5,1,False,False
ME-0286,Material Request Consolidator,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L14291,operations,construction and multi-team operations,,Combine multiple team/site requests into one clean procurement list.,299,1500,"$299–$1,500/month",True,3,0,very_low,5/5,,DISCOVERED,0,,82,EXECUTE_NOW,18,20,20,14,0,5,5,1,False,False
ME-0293,Scope Creep Monitor,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L15432,risk_ops,project/service businesses,,Compare approved scope against later messages/requests and flag possible additions.,299,1500,"$299–$1,500/month",True,3,0,very_low,5/5,,DISCOVERED,0,,82,EXECUTE_NOW,18,20,20,14,0,5,5,1,False,False
ME-0300,Renewal Revenue Forecast,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L16573,business_intelligence,recurring-service businesses,,Estimate upcoming renewal revenue from due customers and historical renewal patterns.,299,1500,"$299–$1,500/month",True,3,0,very_low,5/5,,DISCOVERED,0,,82,EXECUTE_NOW,18,20,20,14,0,5,5,1,False,False
ME-0304,Partner Performance Dashboard,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L17225,business_intelligence,businesses with referral partners,,Track referrals sent/received and performance by partner.,299,1500,"$299–$1,500/month",True,3,0,very_low,5/5,,DISCOVERED,0,,82,EXECUTE_NOW,18,20,20,14,0,5,5,1,False,False
ME-0034,Local Business Audit Service,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L3464,,"Local SMEs with weak websites, social profiles, Google presence, or unclear offers.",,"A scored digital-business audit with screenshots/evidence, priority fixes, quick wins, and a 30-day improvement plan.",None,None,,False,1,0,very_low,5/5,,DISCOVERED,0,,81,EXECUTE_NOW,25,20,8,12,6,5,5,1,False,False
ME-0036,Competitor Review Mining,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L3754,,Local businesses and agencies needing customer insight.,,"Analyse public competitor reviews into praise themes, complaints, unmet needs, buying criteria and opportunity gaps.",None,None,,False,1,0,very_low,5/5,,DISCOVERED,0,,81,EXECUTE_NOW,25,20,8,12,6,5,5,1,False,False
ME-0048,New Product Research Packs,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L5639,,SMEs considering new products or service lines.,,"Research pack covering customers, competitors, pricing, suppliers, positioning, risks and cheapest validation path.",None,None,,False,1,0,very_low,5/5,,DISCOVERED,0,,81,EXECUTE_NOW,25,20,8,12,6,5,5,1,False,False
ME-0049,Marketplace / E-commerce Competitor Monitoring,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L5784,,E-commerce brands and resellers.,,"Recurring report tracking public product, pricing, reviews and offer changes.",None,None,,False,1,0,very_low,5/5,,DISCOVERED,0,,81,EXECUTE_NOW,25,20,8,12,6,5,5,1,False,False
ME-0063,Voice-of-Customer Research,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L7959,,"Marketers, product teams, local services.",,"Mine public reviews/forums/client data for authentic problem language, objections and desired outcomes.",None,None,,False,1,0,very_low,5/5,,DISCOVERED,0,,81,EXECUTE_NOW,25,20,8,12,6,5,5,1,False,False
ME-0072,Public-Record / Business Research Reports,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L9409,,"B2B teams, consultants, procurement teams.",,Compile lawful public business information into concise research briefs.,None,None,,False,1,0,very_low,5/5,,DISCOVERED,0,,81,EXECUTE_NOW,25,20,8,12,6,5,5,1,False,False
ME-0076,Price Monitoring Service,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L9989,,"Retailers, wholesalers, service businesses with public-price competitors.",,Recurring public-price change report with meaningful-change alerts.,None,None,,False,1,0,very_low,5/5,,DISCOVERED,0,,81,EXECUTE_NOW,25,20,8,12,6,5,5,1,False,False
